"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2004,"Andhra Pradesh","48.53639114","21.61077707","17064.93105",78973000,27.4,36.8785488958991,6.78517350157729
2005,"Andhra Pradesh","50.19146814","21.9081846","17779.97045",79852000,27.5,28.7223880597015,5.64328358208955
2006,"Andhra Pradesh","50.67956986","23.34174279","19499.74229",80712000,27.5,30.9866050808314,7.33394919168591
2007,"Andhra Pradesh","49.19420396","23.72274356","21829.42345",81554000,27.6,32.3255230125523,6.77635983263598
2008,"Andhra Pradesh","50.81978492","23.13502107","22073.37178",82375000,27.6,28.2630648330059,6.20098231827112
2009,"Andhra Pradesh","51.65845137","22.39328849","23442.9729",83178000,27.6,23.2654320987654,7.29506172839506
2010,"Andhra Pradesh","54.33935708","21.64439755","24805.09266",83964000,27.7,14.2565947242206,5.27098321342926
2011,"Andhra Pradesh","53.66373338","23.00695012","26115.00325",84735000,27.7,31.5357142857143,4.68181818181818
2012,"Andhra Pradesh","54.75893219","21.14733414","26931.48869",85491000,27.8,20.3301662707838,7.29453681710214
2013,"Andhra Pradesh","55.79454396","19.93587321","28612.61641",86229000,27.8,19.5221088435374,8.28741496598639
2014,"Andhra Pradesh","56.45538357","19.57161271","30421.48772",86952000,27.8,18.0278787878788,10.0036363636364
2004,"Assam","46.88770361","27.53880269","19154.06772",27878000,13.5,NA,NA
2005,"Assam","48.94076745","25.6924386","19528.72352",28273000,13.7,NA,NA
2006,"Assam","50.76186082","24.53613072","20158.21385",28665000,13.9,NA,NA
2007,"Assam","52.20142255","23.56760755","20847.14143",29053000,14.1,NA,NA
2008,"Assam","52.8001067","23.83518635","21753.88483",29435000,14.3,NA,NA
2009,"Assam","53.28949376","23.7970326","23409.76387",29814000,14.5,NA,NA
2010,"Assam","54.63223755","22.97341309","24326.59402",30191000,14.7,NA,NA
2011,"Assam","55.44164465","22.79302605","25138.60246",30568000,15,NA,NA
2012,"Assam","55.40600683","23.23190093","26110.40233",30945000,15.2,NA,NA
2013,"Assam","56.46554086","22.80075734","27734.5126",31319000,15.4,NA,NA
2014,"Assam","56.82151229","23.00685382","29164.68305",31693000,15.6,NA,NA
2004,"Bihar","54.69893995","13.76413003","8864.454955",87745000,10.5,NA,NA
