"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2004,"Andhra Pradesh","48.53639114","21.61077707","17064.93105",78973000,27.4,28.1600767754319,7.33531669865643
2005,"Andhra Pradesh","50.19146814","21.9081846","17779.97045",79852000,27.5,32.2114107883817,6.31991701244813
2006,"Andhra Pradesh","50.67956986","23.34174279","19499.74229",80712000,27.5,28.6746212121212,8.58276515151515
2007,"Andhra Pradesh","49.19420396","23.72274356","21829.42345",81554000,27.6,26.9803497085762,6.68617818484596
2008,"Andhra Pradesh","50.81978492","23.13502107","22073.37178",82375000,27.6,25.4449521002211,7.25607958732498
2009,"Andhra Pradesh","51.65845137","22.39328849","23442.9729",83178000,27.6,22.7929797191888,7.52098283931357
2010,"Andhra Pradesh","54.33935708","21.64439755","24805.09266",83964000,27.7,16.4764971023825,5.49774629748873
2011,"Andhra Pradesh","53.66373338","23.00695012","26115.00325",84735000,27.7,24.154269005848,4.74830409356725
2012,"Andhra Pradesh","54.75893219","21.14733414","26931.48869",85491000,27.8,15.0598345003183,8.05410566518141
2013,"Andhra Pradesh","55.79454396","19.93587321","28612.61641",86229000,27.8,17.2971074380165,7.16528925619835
2014,"Andhra Pradesh","56.45538357","19.57161271","30421.48772",86952000,27.8,20.0403377110694,8.0281425891182
2004,"Assam","46.88770361","27.53880269","19154.06772",27878000,13.5,14.3101351351351,3.18918918918919
2005,"Assam","48.94076745","25.6924386","19528.72352",28273000,13.7,17.3830508474576,5.35762711864407
2006,"Assam","50.76186082","24.53613072","20158.21385",28665000,13.9,16.2050551470588,6.22417279411765
2007,"Assam","52.20142255","23.56760755","20847.14143",29053000,14.1,14.2582541567696,7.37102137767221
2008,"Assam","52.8001067","23.83518635","21753.88483",29435000,14.3,13.4994854202401,6.38619210977702
2009,"Assam","53.28949376","23.7970326","23409.76387",29814000,14.5,15.266265060241,6.82545180722892
2010,"Assam","54.63223755","22.97341309","24326.59402",30191000,14.7,15.2325158946412,7.05086285195277
2011,"Assam","55.44164465","22.79302605","25138.60246",30568000,15,NA,NA
2012,"Assam","55.40600683","23.23190093","26110.40233",30945000,15.2,13.9661215783861,6.08354070387487
2013,"Assam","56.46554086","22.80075734","27734.5126",31319000,15.4,15.4369261843555,6.94160852001469
