YEAR,STATE.UT,SERVICES...GDP,INDUSTRY...GDP,GDP.PER.CAPITA,POPULATION,X..URBAN,NO2,SO2
2011,ANDAMAN & NICOBAR ISLANDS*,66.66499096,19.81183532,104420.7349,381000,37.57,,
2012,ANDAMAN & NICOBAR ISLANDS*,66.79810801,20.30756794,108524.282,383000,38.14,,
2013,ANDAMAN & NICOBAR ISLANDS*,64.50954574,21.14343896,116581.5584,385000,38.69,,
2014,ANDAMAN & NICOBAR ISLANDS*,65.36380949,21.47383917,122522.739,387000,39.24,,
2015,ANDAMAN & NICOBAR ISLANDS*,64.90824967,22.07565474,130566.1538,390000,39.78,,
2016,ANDAMAN & NICOBAR ISLANDS*,66.46667652,21.44594442,146733.4184,392000,40.32,,
2017,ANDAMAN & NICOBAR ISLANDS*,64.56411103,20.98339008,164524.6193,394000,40.91,,
2018,ANDAMAN & NICOBAR ISLANDS*,#VALUE!,#VALUE!,#VALUE!,395000,41.49,,
2019,ANDAMAN & NICOBAR ISLANDS*,#VALUE!,#VALUE!,#VALUE!,397000,42.06,,
2011,ANDHRA PRADESH,37.71334592,29.69403722,76527.83145,49577000,29.47,23.98164286,4.643
2012,ANDHRA PRADESH,40.92539147,25.58835116,76215.95843,49936000,30.04,15.75882109,7.439186384
2013,ANDHRA PRADESH,41.23842479,24.40212741,80945.3723,50295000,30.61,17.40606362,7.37972167
2014,ANDHRA PRADESH,41.15711906,25.15756777,87764.89122,50654000,31.18,18.58235294,8.658371041
2015,ANDHRA PRADESH,41.13056864,24.84027778,97742.935,51012000,31.75,20.76094537,6.892677257
2016,ANDHRA PRADESH,38.63187024,25.78909008,105158.897,51371000,32.33,42.34296636,21.68037971
2017,ANDHRA PRADESH,37.98412177,24.59762216,115156.4786,51655000,32.91,35.59643094,11.59421215
2018,ANDHRA PRADESH,38.76189399,23.55273946,119623.6667,51938000,33.5,32.50500312,11.49415576
2019,ANDHRA PRADESH,39.10198835,23.0093267,128687.3537,52221000,34.08,30.90922029,14.02616887
2011,ARUNACHAL PRADESH,38.0001609,18.94484976,79932.73121,1384000,22.91,,
2012,ARUNACHAL PRADESH,37.77126993,19.22769549,80766.04718,1399000,23.16,,
2013,ARUNACHAL PRADESH,38.22750872,19.84156702,87258.41584,1414000,23.41,,
2014,ARUNACHAL PRADESH,34.3512496,25.71980824,100648.3555,1429000,23.58,,
2015,ARUNACHAL PRADESH,37.24697095,23.80604278,98618.14404,1444000,23.82,,
2016,ARUNACHAL PRADESH,39.81530332,26.0704012,101071.5559,1459000,24.05,,
2017,ARUNACHAL PRADESH,41.93786323,25.85611476,108165.1289,1474000,24.29,,
2018,ARUNACHAL PRADESH,41.86897898,26.46074137,111994.2915,1489000,24.52,,
2019,ARUNACHAL PRADESH,#VALUE!,#VALUE!,#VALUE!,1504000,24.74,,
2011,ASSAM,43.96743117,30.63297892,45880.57104,31206000,14.1,NA,NA
2012,ASSAM,44.10546375,28.212555,46630.28673,31598000,14.22,13.96612158,6.083540704
2013,ASSAM,44.60826505,29.06873563,48302.77265,31991000,14.34,15.43692618,6.94160852
2014,ASSAM,45.19743385,29.03889722,51018.21944,32383000,14.46,14.05369893,6.808833272
2015,ASSAM,40.90998022,35.66148301,58307.60007,32776000,14.59,14.21243339,6.997513321
2016,ASSAM,38.44043305,36.87206071,60926.44718,33168000,14.71,NA,NA
2017,ASSAM,39.60158671,38.00024072,65563.41711,33543000,14.83,NA,NA
2018,ASSAM,38.66888359,39.77252947,69004.03915,33918000,14.95,NA,NA
2019,ASSAM,#VALUE!,#VALUE!,#VALUE!,34293000,15.07,13.08468712,14.57832021
2011,BIHAR,54.25661627,18.42650737,23741.24247,104099000,11.29,35.734375,4.25
2012,BIHAR,56.06935244,15.40009817,24204.96254,106115000,11.38,36.12365591,6.150537634
2013,BIHAR,55.43426987,19.16099783,24937.56034,108130000,11.46,NA,NA
2014,BIHAR,54.8315379,20.33202515,25374.04694,110145000,11.55,NA,NA
2015,BIHAR,56.40709859,19.60075103,26434.15982,112161000,11.63,NA,NA
2016,BIHAR,55.0910416,20.35795493,28285.34105,114176000,11.71,23.54773767,6.367134081
2017,BIHAR,56.73422447,19.72430883,29647.97554,115957000,11.8,64.24245663,16.06527065
2018,BIHAR,57.72774041,19.70497531,31905.42386,117739000,11.88,45.7719586,37.48970328
2019,BIHAR,56.70213299,19.92262121,34720.27861,119520000,11.96,42.36795757,40.72381091
2011,CHANDIGARH*,86.36083665,12.77035149,177897.2512,1055000,97.21,15.78790896,2.013655761
2012,CHANDIGARH*,87.47328708,11.72006292,189226.959,1072000,97.61,19.62668329,2
2013,CHANDIGARH*,86.72418083,11.93397784,203168.1985,1088000,98,28.3254717,2.007075472
2014,CHANDIGARH*,88.58401268,10.22355807,207156.8841,1104000,98.29,21.33744856,2
2015,CHANDIGARH*,86.51444876,11.33452109,222609.2857,1120000,98.56,25.43068641,2
2016,CHANDIGARH*,87.50137459,10.6359874,236947.1831,1136000,98.83,NA,NA
2017,CHANDIGARH*,85.18127562,10.10843313,252350.5647,1151000,99.09,NA,NA
2018,CHANDIGARH*,84.07295722,11.1891903,267742.3176,1165000,99.24,NA,NA
2019,CHANDIGARH*,#VALUE!,#VALUE!,#VALUE!,1179000,99.48,10.73165477,9.947841243
2011,CHHATTISGARH,32.51911038,44.38819787,61880.53239,25545000,23.24,,
2012,CHHATTISGARH,32.4145215,44.14122043,63960.46243,25950000,23.57,,
2013,CHHATTISGARH,32.0903749,46.38435487,69274.33981,26356000,23.9,,
2014,CHHATTISGARH,32.63656278,44.86981674,69434.41575,26761000,24.23,,
2015,CHHATTISGARH,33.78144171,44.54307589,70238.62181,27166000,24.55,,
2016,CHHATTISGARH,33.15923953,43.40438704,74707.18146,27571000,24.87,,
2017,CHHATTISGARH,34.30487963,44.51759882,77238.13135,27956000,25.2,,
2018,CHHATTISGARH,34.52757661,43.79035947,81574.38956,28340000,25.52,,
2019,CHHATTISGARH,34.95577753,43.63098691,84764.2703,28724000,25.84,,
2011,DELHI*,73.5796479,13.79034752,204787.6459,16788000,97.5,58.49180328,5.325136612
2012,DELHI*,72.75836019,14.16796796,213578.2186,17166000,97.76,81.68402778,7.444444444
2013,DELHI*,72.07809872,14.33888735,223955.985,17544000,97.99,89.73431734,4.487084871
2014,DELHI*,74.60263289,12.71570098,239024.1337,17921000,98.21,63.49245542,5.137174211
2015,DELHI*,72.38421647,13.66208075,259917.2086,18299000,98.41,67.35157319,5.638850889
2016,DELHI*,72.14837608,13.10121219,274008.2669,18677000,98.61,59.54619413,18.31271579
2017,DELHI*,73.20400014,13.33149761,287733.0972,19056000,98.78,76.51992678,21.97945686
2018,DELHI*,73.57325681,13.10718335,303868.8654,19435000,98.94,49.12964284,13.64395842
2019,DELHI*,73.28227847,13.09148538,320181.5333,19814000,99.09,48.02985457,14.01549175
2011,GOA,29.07050025,59.11834919,290381.4942,1459000,62.19,,
2012,GOA,34.84921431,51.24155445,244045.0647,1469000,63.37,,
2013,GOA,40.85663349,41.3845338,213300.4054,1480000,64.53,,
2014,GOA,35.24690221,50.96527637,269057.6123,1491000,65.75,,
2015,GOA,33.2117691,52.35324314,307067.6882,1501000,66.88,,
2016,GOA,31.86995553,54.92415107,338950,1512000,68.06,,
2017,GOA,31.3354268,52.42766354,359215.5819,1521000,69.15,,
2018,GOA,27.5451823,56.20206324,408487.4592,1531000,70.3,,
2019,GOA,#VALUE!,#VALUE!,#VALUE!,1540000,71.43,,
2011,GUJARAT,32.91606595,39.29843317,101854.0817,60440000,42.6,25.14470284,14.94366925
2012,GUJARAT,33.36503918,41.9951061,111211.6074,61383000,43.13,26.37270341,15.25853018
2013,GUJARAT,32.85466287,39.91748178,117811.5215,62327000,43.65,18.7360396,12.74455446
2014,GUJARAT,32.28166346,41.83029555,128246.3751,63271000,44.17,20.13089705,14.25557028
2015,GUJARAT,31.55209234,44.17341425,139294.4436,64214000,44.69,20.89166667,14.36944444
2016,GUJARAT,31.0350013,43.66754378,150609.589,65158000,45.21,15.51788013,18.33145024
2017,GUJARAT,30.6876145,43.40540298,164422.5123,66084000,45.72,72.64653458,101.072533
2018,GUJARAT,30.8028192,44.23269622,177045.0783,67010000,46.23,80.42755212,66.99856628
2019,GUJARAT,#VALUE!,#VALUE!,#VALUE!,67936000,46.74,83.61113871,67.63379207
2011,HARYANA,41.31403221,29.10904107,117367.5674,25351000,34.88,27.79545455,13.70227273
2012,HARYANA,42.3611358,29.41419345,124519.5988,25772000,35.5,27.85910653,9.711340206
2013,HARYANA,43.07778779,29.16069999,132671.5573,26193000,36.11,25.92035398,12.16814159
2014,HARYANA,44.6183002,28.62521496,139225.4114,26614000,36.72,24.34955752,13.11061947
2015,HARYANA,44.31776903,28.58554445,152920.3189,27034000,37.33,72.85897436,15.29487179
2016,HARYANA,43.55032477,29.21699074,166330.122,27455000,37.93,14.59719157,6.869816078
2017,HARYANA,43.64082412,29.13991824,177333.2005,27861000,38.54,18.11368828,8.610256205
2018,HARYANA,43.9621843,28.99539149,187888.3429,28266000,39.14,35.0896375,8.413533424
2019,HARYANA,44.41072159,28.75138338,199581.3686,28672000,39.73,34.39486042,13.62538451
2011,HIMACHAL PRADESH,37.24653922,42.20430658,105928.3758,6865000,10.04,,
2012,HIMACHAL PRADESH,37.92977075,41.77944151,111778.5353,6923000,10.05,,
2013,HIMACHAL PRADESH,37.55361862,41.60134823,118657.5337,6982000,10.08,,
2014,HIMACHAL PRADESH,38.20510601,42.4471248,126487.9847,7041000,10.1,,
2015,HIMACHAL PRADESH,37.94091576,42.57730483,135597.2676,7100000,10.13,,
2016,HIMACHAL PRADESH,37.75258842,44.21753433,143971.7798,7158000,10.14,,
2017,HIMACHAL PRADESH,37.73012561,44.84699401,152697.6547,7206000,10.17,,
2018,HIMACHAL PRADESH,38.2540332,45.1400918,162485.2888,7253000,10.19,,
2019,HIMACHAL PRADESH,38.37333458,44.39828361,170415.3562,7300000,10.22,,
2011,JAMMU & KASHMIR* (UT),52.009768,26.83097876,63793.55181,12267000,27.48,,
2012,JAMMU & KASHMIR* (UT),53.17443838,26.69344507,65171.12079,12393000,27.73,,
2013,JAMMU & KASHMIR* (UT),53.02148257,26.54893645,67989.05663,12519000,27.99,,
2014,JAMMU & KASHMIR* (UT),56.05920499,24.31905654,65142.04033,12645000,28.24,,
2015,JAMMU & KASHMIR* (UT),52.67512799,26.54408692,75954.38102,12771000,28.5,,
2016,JAMMU & KASHMIR* (UT),52.60345745,26.54020991,77691.46313,12897000,28.75,,
2017,JAMMU & KASHMIR* (UT),51.72004352,26.37126921,81770.0977,12999000,29,,
2018,JAMMU & KASHMIR* (UT),53.4318552,26.17625028,86066.20869,13101000,29.26,,
2019,JAMMU & KASHMIR* (UT),#VALUE!,#VALUE!,#VALUE!,13203000,29.52,,
2011,JHARKHAND,35.52730334,41.86203875,45749.23912,32988000,24.05,38.37618403,21.25710419
2012,JHARKHAND,34.85247528,42.73173331,48657.34851,33551000,24.23,41.50537634,22.76958525
2013,JHARKHAND,36.17729045,41.32466261,48607.93832,34113000,24.41,40.95242636,22.32160994
2014,JHARKHAND,35.60286658,39.94625334,53795.06561,34675000,24.59,36.16,13.86333333
2015,JHARKHAND,40.51849499,37.26251228,49628.56859,35238000,24.77,37.93417722,19.33164557
2016,JHARKHAND,38.81100513,36.67412247,53959.19553,35800000,24.95,NA,NA
2017,JHARKHAND,39.15931303,36.85339049,57958.74388,36334000,25.13,10.31546123,32.5301811
2018,JHARKHAND,39.6194133,37.32128247,61023.16852,36869000,25.31,8.402175051,56.85500727
2019,JHARKHAND,40.05774216,36.47046046,64175.6196,37403000,25.48,9.328402915,20.10407621
2011,KARNATAKA,51.79177875,26.86453211,99191.39209,61095000,38.67,21.00357143,10.33210077
2012,KARNATAKA,54.1836934,25.66106947,104182.1425,61722000,39.15,23.38499562,11.25337423
2013,KARNATAKA,54.88486713,25.33612834,112987.5443,62349000,39.63,18.00948685,8.545924968
2014,KARNATAKA,56.47143388,24.19945825,118845.4323,62975000,40.11,18.55512821,8.319230769
2015,KARNATAKA,57.10567782,25.05626677,130708.1397,63602000,40.59,16.78486395,5.547193878
2016,KARNATAKA,56.0197546,25.73393685,146697.1384,64229000,41.06,32.23175244,5.022894204
2017,KARNATAKA,54.8459768,24.54087788,161158.477,64752000,41.54,36.16358761,4.945607047
2018,KARNATAKA,55.88281825,24.04544522,172259.3474,65275000,42.02,28.29876236,6.183692783
2019,KARNATAKA,56.46655478,23.60146959,182533.0968,65798000,42.49,28.50155932,5.369495253
2011,KERALA,53.07581648,26.0119019,108976.7976,33406000,47.7,14.04636472,4.228168455
2012,KERALA,54.28235751,24.97785493,115244.3328,33641000,50.09,12.104191,3.951666094
2013,KERALA,55.71238369,25.14535617,118902.2376,33875000,52.47,11.36108209,3.858992537
2014,KERALA,55.82719409,25.10684047,123121.6248,34109000,54.85,12.57568296,4.168224299
2015,KERALA,55.50584847,24.90952439,131379.5772,34344000,57.22,14.27747353,3.933552391
2016,KERALA,54.84108499,25.93680416,140349.8005,34578000,59.58,NA,NA
2017,KERALA,55.51145974,25.36829843,149759.3596,34761000,61.92,7.048425877,3.946346255
2018,KERALA,55.99685784,25.55460916,160092.711,34943000,64.24,10.12455382,6.956655769
2019,KERALA,#VALUE!,#VALUE!,#VALUE!,35125000,66.53,7.800794864,5.360064916
2011,MADHYA PRADESH,37.59403671,29.78307341,43449.6248,72627000,27.63,19.51680328,12.10909836
2012,MADHYA PRADESH,36.99645152,26.9269377,47612.82645,73863000,27.75,21.01286822,12.48403101
2013,MADHYA PRADESH,37.4728627,26.09799845,48620.34648,75099000,27.87,22.14382749,12.26409704
2014,MADHYA PRADESH,37.55888351,25.831253,50297.96421,76334000,27.98,18.83881163,10.62389381
2015,MADHYA PRADESH,37.18507763,27.32797778,53981.66044,77570000,28.1,20.21778488,10.4986688
2016,MADHYA PRADESH,35.53067509,25.31431845,59725.04124,78806000,28.21,NA,NA
2017,MADHYA PRADESH,36.43596277,26.05111947,61729.68054,79948000,28.33,NA,NA
2018,MADHYA PRADESH,37.57236365,25.81860416,64374.06832,81090000,28.44,31.87451053,17.71475798
2019,MADHYA PRADESH,37.73844566,24.984875,68319.08381,82232000,28.55,22.36726037,11.47479759
2011,MAHARASHTRA,45.65161365,32.0128228,113938.2277,112374000,45.22,33.59990493,17.42291238
2012,MAHARASHTRA,46.63267429,31.72048052,119489.8016,113645000,45.5,33.09006433,16.8045747
2013,MAHARASHTRA,47.15503076,30.59437524,126320.7275,114915000,45.78,31.83804937,16.61453943
2014,MAHARASHTRA,48.39754614,31.08453279,132818.4867,116186000,46.06,35.75479047,18.14737498
2015,MAHARASHTRA,48.49276842,31.54967847,140842.8356,117456000,46.34,34.73065432,16.08022109
